name,label,data_type,value_labels,n_missing,complete_rate,n_unique,empty,min,median,max,mean,sd,whitespace,hist,format.stata
mrctype,Residents eligible for clinical surveys,numeric,"0. Only children 2-10 years,
1. All residents",0,1,,, 0.0e+00, 0.0e+00,1.0e+00,0.462022876237012,0.498587691751485,,▇▁▁▁▇,%24.0g
starttime,Date/time of start,character,,0,1,7771,0,23,,23,,,0,,%23s
date,Date of visit,Date,,0,1,93,,2021-11-24,2022-01-16,2022-03-27,,,,,%d
hhid,Household ID number,numeric,,0,1,,, 2.0e+08, 2.3e+08,2.6e+08,233463334.779463,18180615.7058392,,▇▆▇▇▇,%16.0f
mrccode,MRC code,numeric,"1. Kasambya HCIII (Mubende District),
2. Kiyuni HCIII (Mubende District),
3. Bbaale HCIV (Kayunga District),
4. Kangulumira HCIV (Kayunga District),
5. Kyegegwa HCIV (Kyegegwa District),
6. Kakabara HCIII (Kyegegwa District),
7. Kibaale HCIV (Kibaale District),
8. Kyebando HCIII (Kibaale District),
9. Kigorobya HCIV (Hoima District),
10. Butema HCIII (Hoima District),
11. Bwijanga HCIV (Masindi District),
12. Kyatiri HCIII (Masindi District),
13. Kigumba HCIII (Kiryandongo District),
14. Diima HCIII (Kiryandongo District),
15. Opia HCIII (Arua District),
16. Cilio HCIII (Arua District),
17. Lobule HCIII (Koboko District),
18. Ayipe HCIII (Koboko District),
19. Metu HCIII (Moyo District),
20. Lefori HCIII (Moyo District),
21. Koch Goma HCIV (Nwoya District),
22. Alero HCIII (Nwoya District),
23. Atiak HCIV (Amuru District),
24. Amuru HCIII (Amuru District),
25. Awach HCIV (Gulu District),
26. Pabwo HCIII (Gulu District),
27. Lalogi HCIV (Omoro District),
28. Bobi HCIII (Omoro District),
29. Padibe HCIV (Lamwo District),
30. Madi-Opei HCIII (Lamwo District),
31. Namokora HCIV (Kitgum District),
32. Kitgum-Matidi HCIII (Kitgum District),
33. Patongo HCIII (Agago District),
34. Lira-Kato HCIII (Agago District),
35. Anyeke HCIV (Oyam District),
36. Otwal HCIII (Oyam District),
37. Aboke HCIV (Kole District),
38. Bala HCIII (Kole District),
39. Teboke HCIII (Apac District),
40. Akokoro HCIII (Apac District),
41. Aduku HCIV (Kwania District),
42. Apwori HCIII (Kwania District),
43. Lokolia HCIII (Kaabong District),
44. Kalapata HCIII (Kaabong District),
45. Kapelebyong HCIV (Kapelebyong District),
46. Obalanga HCIII (Kapelebyong District),
47. Morungatuny HCIII (Amuria Distric),
48. Asamuk HCIII (Amuria Distric),
49. Kamaca HCIII (Kumi District),
50. Omatenga HCIII (Kumi District),
51. Kolir HCIII (Bukedea District),
52. Bukedea HCIII (Bukedea District),
53. Kidera HCIV (Buyende District),
54. Bugaya HCIII (Buyende District),
55. Bumanya HCIV (Kaliro District),
56. Nawaikoke HCIII (Kaliro District),
57. Kiyunga HCIV (Luuka District),
58. Ikumbya HCIV (Luuka District),
59. Budondo HCIV (Jinja District),
60. Butagaya HCIII (Jinja District),
61. Buwaiswa HCIV (Mayuge District),
62. Kigandalo HCIII (Mayuge District),
63. Lumino HCIII (Busia District),
64. Busitema HCIII (Busia District),
65. Kihihi HCIV (Kanungu District),
66. Amolatar HCIV (Amolatar District),
67. Dokolo HCIV (Dokolo District),
68. Alebtong HCIV (Alebtong District),
69. Orum HCIV (Otuke District),
70. Nagongera HCIV (Tororo District)",0,1,,, 1.0e+00, 3.4e+01,6.4e+01,33.4428736666238,18.1799836869196,,▇▆▇▇▇,%39.0g
Region,Region of country,numeric,"1. North Buganda / Tooro,
2. Bunyoro,
3. West Nile,
4. Acholi,
5. Lango,
6. Teso / Karamoja,
7. Busoga / Bukedi,
8. Kigezi,
9. IRS Districts",0,1,,, 1.0e+00, 4.0e+00,7.0e+00,4.45803881249197,1.90370865462162,,▅▂▅▃▇,%21.0g
LLINarm,Type of LLIN randomized to,numeric,"1. PBO,
2. Royal Guard",0,1,,, 1.0e+00, 1.0e+00,2.0e+00,1.48708392237502,0.499865269019631,,▇▁▁▁▇,%11.0g
LLINdistmonth,Month LLINs distributed,numeric,,0,1,,, 7.3e+02, 7.3e+02,7.3e+02,731.340830227477,1.55449916039952,,▇▇▁▁▅,%tmMon_YY
netnum,Net Number,numeric,,0,1,,, 1.0e+00, 2.0e+00,1.2e+01,2.02596067343529,1.21688822797273,,▇▁▁▁▁,%8.0g
uniqueBNid,Unique bednet ID number (hhid+netnum),numeric,,0,1,,, 2.0e+09, 2.3e+09,2.6e+09,2334633349.82059,181806157.100096,,▇▆▇▇▇,%16.0f
obs,Was the net observed?,numeric,"-9. Skipped,
0. Not observed,
1. Observed",0,1,,, 0.0e+00, 1.0e+00,1.0e+00,0.975324508417941,0.155144142951209,,▁▁▁▁▇,%12.0g
labelobs,Was the label observed?,numeric,"-9. Skipped,
0. No,
1. Yes",0,1,,,-9.0e+00, 1.0e+00,1.0e+00,0.721372574219251,1.55630964452068,,▁▁▁▁▇,%8.0g
brandnet,Brand of the net,numeric,"1. Royal Guard,
2. PermaNet 2.0,
3. PermaNet 3.0,
4. Olyset Net,
5. Olyset Net Plus,
6. Duranet,
7. Interceptor,
8. Netprotect,
9. KO net,
10. MAGNet,
11. Iconet,
12. Safi net,
13. B52,
14. Bamboo hut,
15. Century,
16. Lucky net,
17. Victoria,
18. Homemade net,
19. Dawa net,
20. Iconlife,
21. Yorkool,
22. Safe net,
23. DK,
24. Kooper net,
25. Royal Sentry Net,
26. LLIN NOS,
27. Untreated net NOS,
28. No label,
29. Not observed,
30. TANA LLIN,
96. Other brand",0,1,,, 1.0e+00, 3.0e+00,3.0e+01,3.23634494280941,5.14387300757111,,▇▁▁▁▁,%17.0g
otherb,Other brand of net,character,,0,1,8,0,2,,15,,,0,,%15s
netbrandhow,How was brand determined?,numeric,"1. Saw net + label,
2. Saw net but not label so guessed,
3. Didn’t see net but was told net type by household resident,
4. Guessed based on nets distributed in this cluster,
96. Other (Specify)",0,1,,, 1.0e+00, 1.0e+00,9.6e+01,2.14599665852717,9.98725503894005,,▇▁▁▁▁,%60.0g
othbrandhow,Other way brand determined,character,,0,1,52,0,2,,80,,,0,,%80s
nethung,Net hung if observed?,numeric,,0,1,,,-9.0e+00, 1.0e+00,1.0e+00,0.629225035342501,1.56665585532316,,▁▁▁▁▇,%8.0g
everhung,"If not hanging, ever hung?",numeric,,0,1,,,-9.0e+00,-9.0e+00,1.0e+00,-8.47114766739495,2.18456764975738,,▇▁▁▁▁,%8.0g
everhung1,"If not observed, ever hung?",numeric,,0,1,,,-9.0e+00,-9.0e+00,1.0e+00,-8.18455211412412,2.66730617994973,,▇▁▁▁▁,%8.0g
nethungcat,Whether bed net every hung,numeric,"1. Currently hung,
2. Previously hung,
3. Never hung",606,0.922117979694127,,, 1.0e+00, 1.0e+00,3.0e+00,1.10536585365854,0.389137318451211,,▇▁▁▁▁,%15.0g
howoldnet,Months ago net obtained,numeric,-7. Don't know,0,1,,,-7.0e+00, 1.2e+01,3.7e+01,13.2693741164375,5.72584219792774,,▁▁▇▁▁,%10.0g
howoldnetcat,How many months ago bed net obtained,numeric,"1. < 1 month,
2. 1-3 months,
3. 4-6 months,
4. 7-12 months,
5. More than 12 months,
99. Unknown",0,1,,, 1.0e+00, 4.0e+00,9.9e+01,4.75285952962341,6.96642470139847,,▇▁▁▁▁,%19.0g
uccnet,Net recieved in 2020-21 UCC?,numeric,"0. No,
1. Yes",0,1,,, 0.0e+00, 1.0e+00,1.0e+00,0.898213597224007,0.302386643869921,,▁▁▁▁▇,%8.0g
wherenet,Where net obtained,numeric,"-9. Most recent UCC,
-8. Refused to answer,
-7. Don't know,
1. Prior UCC,
2. Gov't hospital,
3. Gov't health center,
4. Private hospital/clinic,
5. Private pharmacy,
6. Shop,
7. Open market,
8. Hawker,
9. Project/NGO/Non-health facility,
11. Church,
12. Friend/Relative,
96. Other",0,1,,,-9.0e+00,-9.0e+00,1.2e+01,-7.59118365248682,4.36477126257741,,▇▁▁▁▁,%31.0g
spcfro,Other source of net,character,,0,1,7,0,2,,22,,,0,,%22s
free,What the net obtained free?,numeric,"-8. Refused to answer,
-7. Don't know,
1. Free,
2. Paid for",0,1,,,-8.0e+00, 1.0e+00,2.0e+00,1.02403290065544,0.187153569449027,,▁▁▁▁▇,%17.0g
