dataset_name	columns	house_columns
ISASimple_Gates_GEMS_gems1a_case_control_RSRC	BFO_0000015	EUPATH_0015467
ISASimple_Gates_GEMS_gems1_case_control_RSRC	BFO_0000015	EUPATH_0015467
ISASimple_ICEMR_PRISM_cohort_RSRC	EUPATH_0000091|EUPATH_0000113	NA|NA
ISASimple_Gates_MAL-ED_phase2_RSRC	EUPATH_0000579	EUPATH_0011931
ISASimple_ICEMR_India_cross_sectional_RSRC	NA	NA
ISASimple_ICEMR_India_longitudinal_RSRC	EUPATH_0000091|EUPATH_0000113	NA|NA
ISASimple_ICEMR_India_fever_surveillance_RSRC	NA	NA
ISASimple_ICEMR_Amazonia_Peru_lon_RSRC	EUPATH_0004991	NA
ISASimple_ICEMR_South_Asia_surveillance_RSRC	EUPATH_0004991	NA
ISASimple_Gates_GEMS_gems1_case_control_huas_RSRC	NA	NA
ISASimple_Gates_GEMS_gems1a_case_control_huas_RSRC	NA	NA
